Finger,Curl,Direction
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Half Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Diagonal Down Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Horizontal Left
Ring,Full Curl,Diagonal Down Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Vertical Up
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,Half Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Half Curl,Diagonal Up Left
Ring,Half Curl,Diagonal Up Left
Pinky,Half Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Horizontal Left
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Vertical Up
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Vertical Up
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Vertical Up
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Vertical Up
Index,Half Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Vertical Up
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Diagonal Up Left
Ring,Full Curl,Diagonal Up Left
Pinky,Full Curl,Diagonal Up Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Diagonal Up Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
Thumb,No Curl,Diagonal Up Left
Index,Full Curl,Horizontal Left
Middle,Full Curl,Horizontal Left
Ring,Full Curl,Horizontal Left
Pinky,Full Curl,Horizontal Left
